Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
25;17;0,138099998;singlepipette;S2;10/10/2025
0;17;0,092200004;singlepipette;S2;10/10/2025
2000;18;1,924200058;singlepipette;S2;10/10/2025
1500;18;2,200500011;singlepipette;S2;10/10/2025
1000;18;1,496399999;singlepipette;S2;10/10/2025
750;18;1,247900009;singlepipette;S2;10/10/2025
500;18;0,948800027;singlepipette;S2;10/10/2025
250;18;0,545799971;singlepipette;S2;10/10/2025
125;18;0,327199996;singlepipette;S2;10/10/2025
25;18;0,137600005;singlepipette;S2;10/10/2025
0;18;0,093599997;singlepipette;S2;10/10/2025
2000;1;2,534600019;singlepipette;OT-2;15/10/2025
1500;1;2,027400017;singlepipette;OT-2;15/10/2025
1000;1;1,413300037;singlepipette;OT-2;15/10/2025
750;1;1,015400052;singlepipette;OT-2;15/10/2025
500;1;0,749300003;singlepipette;OT-2;15/10/2025
250;1;0,451799989;singlepipette;OT-2;15/10/2025
125;1;0,296600014;singlepipette;OT-2;15/10/2025
25;1;0,129199997;singlepipette;OT-2;15/10/2025
0;1;0,088200003;singlepipette;OT-2;15/10/2025
2000;2;2,547499895;singlepipette;OT-2;15/10/2025
1500;2;2,01760006;singlepipette;OT-2;15/10/2025
1000;2;1,452299953;singlepipette;OT-2;15/10/2025
750;2;1,128399968;singlepipette;OT-2;15/10/2025
500;2;0,791700006;singlepipette;OT-2;15/10/2025
250;2;0,403600007;singlepipette;OT-2;15/10/2025
125;2;0,285600007;singlepipette;OT-2;15/10/2025
25;2;0,126499996;singlepipette;OT-2;15/10/2025
0;2;0,087399997;singlepipette;OT-2;15/10/2025
2000;3;2,486599922;singlepipette;OT-2;15/10/2025
1500;3;1,678500056;singlepipette;OT-2;15/10/2025
1000;3;1,218999982;singlepipette;OT-2;15/10/2025
750;3;0,872500002;singlepipette;OT-2;15/10/2025
500;3;0,744300008;singlepipette;OT-2;15/10/2025
250;3;0,440699995;singlepipette;OT-2;15/10/2025
125;3;0,273900002;singlepipette;OT-2;15/10/2025
25;3;0,125100002;singlepipette;OT-2;15/10/2025
0;3;0,089599997;singlepipette;OT-2;15/10/2025
2000;4;2,432499886;singlepipette;OT-2;15/10/2025
1500;4;1,717399955;singlepipette;OT-2;15/10/2025
1000;4;1,226999998;singlepipette;OT-2;15/10/2025
750;4;0,856000006;singlepipette;OT-2;15/10/2025
500;4;0,633300006;singlepipette;OT-2;15/10/2025
250;4;0,383899987;singlepipette;OT-2;15/10/2025
125;4;0,271299988;singlepipette;OT-2;15/10/2025
25;4;0,122299999;singlepipette;OT-2;15/10/2025
0;4;0,089400001;singlepipette;OT-2;15/10/2025
2000;5;2,364500046;singlepipette;OT-2;15/10/2025
1500;5;1,732499957;singlepipette;OT-2;15/10/2025
1000;5;1,233899951;singlepipette;OT-2;15/10/2025
750;5;0,827300012;singlepipette;OT-2;15/10/2025
500;5;0,681900024;singlepipette;OT-2;15/10/2025
250;5;0,386900008;singlepipette;OT-2;15/10/2025
125;5;0,275599986;singlepipette;OT-2;15/10/2025
25;5;0,125499994;singlepipette;OT-2;15/10/2025
0;5;0,090899996;singlepipette;OT-2;15/10/2025
2000;6;2,068700075;singlepipette;OT-2;15/10/2025
1500;6;1,647899985;singlepipette;OT-2;15/10/2025
1000;6;1,199699998;singlepipette;OT-2;15/10/2025
750;6;0,840200007;singlepipette;OT-2;15/10/2025
500;6;0,68629998;singlepipette;OT-2;15/10/2025
250;6;0,379099995;singlepipette;OT-2;15/10/2025
125;6;0,272300005;singlepipette;OT-2;15/10/2025
25;6;0,121699996;singlepipette;OT-2;15/10/2025
0;6;0,089400001;singlepipette;OT-2;15/10/2025
2000;7;2,223099947;singlepipette;OT-2;15/10/2025
1500;7;1,761600018;singlepipette;OT-2;15/10/2025
1000;7;1,26030004;singlepipette;OT-2;15/10/2025
750;7;0,894599974;singlepipette;OT-2;15/10/2025
500;7;0,653100014;singlepipette;OT-2;15/10/2025
250;7;0,400200009;singlepipette;OT-2;15/10/2025
125;7;0,28459999;singlepipette;OT-2;15/10/2025
25;7;0,118199997;singlepipette;OT-2;15/10/2025
0;7;0,092;singlepipette;OT-2;15/10/2025
2000;8;2,200799942;singlepipette;OT-2;15/10/2025
1500;8;1,746399999;singlepipette;OT-2;15/10/2025
1000;8;1,272500038;singlepipette;OT-2;15/10/2025
750;8;0,835399985;singlepipette;OT-2;15/10/2025
500;8;0,64139998;singlepipette;OT-2;15/10/2025
250;8;0,398299992;singlepipette;OT-2;15/10/2025
125;8;0,317299992;singlepipette;OT-2;15/10/2025
25;8;0,121200003;singlepipette;OT-2;15/10/2025
0;8;0,087800004;singlepipette;OT-2;15/10/2025
2000;9;2,487499952;multipipette;S1;15/10/2025
1500;9;2,042099953;multipipette;S1;15/10/2025
1000;9;1,445500016;multipipette;S1;15/10/2025
750;9;1,115800023;multipipette;S1;15/10/2025
500;9;0,865400016;multipipette;S1;15/10/2025
250;9;0,498400003;multipipette;S1;15/10/2025
125;9;0,310400009;multipipette;S1;15/10/2025
25;9;0,136099994;multipipette;S1;15/10/2025
0;9;0,091499999;multipipette;S1;15/10/2025
2000;10;2,52489996;multipipette;S1;15/10/2025
1500;10;1,874300003;multipipette;S1;15/10/2025
1000;10;1,410099983;multipipette;S1;15/10/2025
750;10;1,094400048;multipipette;S1;15/10/2025
500;10;0,858099997;multipipette;S1;15/10/2025
250;10;0,501399994;multipipette;S1;15/10/2025
125;10;0,305400014;multipipette;S1;15/10/2025
25;10;0,131400004;multipipette;S1;15/10/2025
0;10;0,089299999;multipipette;S1;15/10/2025
2000;11;2,52609992;multipipette;S1;15/10/2025
1500;11;1,869699955;multipipette;S1;15/10/2025
1000;11;1,53670001;multipipette;S1;15/10/2025
750;11;1,184399962;multipipette;S1;15/10/2025
500;11;0,872799993;multipipette;S1;15/10/2025
250;11;0,498600006;multipipette;S1;15/10/2025
125;11;0,321799994;multipipette;S1;15/10/2025
25;11;0,132100001;multipipette;S1;15/10/2025
0;11;0,091899998;multipipette;S1;15/10/2025
2000;12;2,265000105;multipipette;S1;15/10/2025
1500;12;2,007400036;multipipette;S1;15/10/2025
1000;12;1,495800018;multipipette;S1;15/10/2025
750;12;1,138599992;multipipette;S1;15/10/2025
500;12;0,832300007;multipipette;S1;15/10/2025
250;12;0,49000001;multipipette;S1;15/10/2025
125;12;0,32949999;multipipette;S1;15/10/2025
25;12;0,139200002;multipipette;S1;15/10/2025
0;12;0,090499997;multipipette;S1;15/10/2025
2000;13;2,31069994;multipipette;S1;15/10/2025
1500;13;1,876000047;multipipette;S1;15/10/2025
1000;13;1,396000028;multipipette;S1;15/10/2025
750;13;1,138700008;multipipette;S1;15/10/2025
500;13;0,840300024;multipipette;S1;15/10/2025
250;13;0,5449;multipipette;S1;15/10/2025
125;13;0,361200005;multipipette;S1;15/10/2025
25;13;0,146699995;multipipette;S1;15/10/2025
0;13;0,090700001;multipipette;S1;15/10/2025
2000;14;2,614900112;multipipette;S1;15/10/2025
1500;14;1,896800041;multipipette;S1;15/10/2025
1000;14;1,45510006;multipipette;S1;15/10/2025
750;14;1,105700016;multipipette;S1;15/10/2025
500;14;0,871200025;multipipette;S1;15/10/2025
250;14;0,540600002;multipipette;S1;15/10/2025
125;14;0,377799988;multipipette;S1;15/10/2025
25;14;0,136500001;multipipette;S1;15/10/2025
0;14;0,090800002;multipipette;S1;15/10/2025
2000;15;2,438999891;multipipette;S1;15/10/2025
1500;15;2,149100065;multipipette;S1;15/10/2025
1000;15;1,412099957;multipipette;S1;15/10/2025
750;15;1,105200052;multipipette;S1;15/10/2025
500;15;0,834800005;multipipette;S1;15/10/2025
250;15;0,561600029;multipipette;S1;15/10/2025
125;15;0,395799994;multipipette;S1;15/10/2025
25;15;0,134800002;multipipette;S1;15/10/2025
0;15;0,089599997;multipipette;S1;15/10/2025
2000;16;2,707000017;multipipette;S1;15/10/2025
1500;16;2,028800011;multipipette;S1;15/10/2025
1000;16;1,536499977;multipipette;S1;15/10/2025
750;16;1,181900024;multipipette;S1;15/10/2025
500;16;0,926800013;multipipette;S1;15/10/2025
250;16;0,561399996;multipipette;S1;15/10/2025
125;16;0,348399997;multipipette;S1;15/10/2025
25;16;0,136700004;multipipette;S1;15/10/2025
0;16;0,090099998;multipipette;S1;15/10/2025
2000;9;2,229799986;multipipette;S2;15/10/2025
1500;9;1,977399945;multipipette;S2;15/10/2025
1000;9;1,458999991;multipipette;S2;15/10/2025
750;9;1,159500003;multipipette;S2;15/10/2025
500;9;0,899900019;multipipette;S2;15/10/2025
250;9;0,500199974;multipipette;S2;15/10/2025
125;9;0,325599998;multipipette;S2;15/10/2025
25;9;0,145600006;multipipette;S2;15/10/2025
0;9;0,120499998;multipipette;S2;15/10/2025
2000;10;2,375299931;multipipette;S2;15/10/2025
1500;10;2,131599903;multipipette;S2;15/10/2025
1000;10;1,397799969;multipipette;S2;15/10/2025
750;10;1,081099987;multipipette;S2;15/10/2025
500;10;0,92110002;multipipette;S2;15/10/2025
250;10;0,507499993;multipipette;S2;15/10/2025
125;10;0,324000001;multipipette;S2;15/10/2025
25;10;0,135900006;multipipette;S2;15/10/2025
0;10;0,102899998;multipipette;S2;15/10/2025
2000;11;2,35439992;multipipette;S2;15/10/2025
1500;11;2,153100014;multipipette;S2;15/10/2025
1000;11;1,398599982;multipipette;S2;15/10/2025
750;11;1,218899965;multipipette;S2;15/10/2025
500;11;0,960200012;multipipette;S2;15/10/2025
250;11;0,493400007;multipipette;S2;15/10/2025
125;11;0,325399995;multipipette;S2;15/10/2025
25;11;0,135199994;multipipette;S2;15/10/2025
0;11;0,097400002;multipipette;S2;15/10/2025
2000;12;2,357500076;multipipette;S2;15/10/2025
1500;12;2,198299885;multipipette;S2;15/10/2025
1000;12;1,454100013;multipipette;S2;15/10/2025
750;12;1,174800038;multipipette;S2;15/10/2025
500;12;0,875400007;multipipette;S2;15/10/2025
250;12;0,508000016;multipipette;S2;15/10/2025
125;12;0,323500007;multipipette;S2;15/10/2025
25;12;0,133699998;multipipette;S2;15/10/2025
0;12;0,0986;multipipette;S2;15/10/2025
2000;13;2,309000015;multipipette;S2;15/10/2025
1500;13;1,98239994;multipipette;S2;15/10/2025
1000;13;1,429299951;multipipette;S2;15/10/2025
750;13;1,190000057;multipipette;S2;15/10/2025
500;13;0,834500015;multipipette;S2;15/10/2025
250;13;0,510900021;multipipette;S2;15/10/2025
125;13;0,3134;multipipette;S2;15/10/2025
25;13;0,135000005;multipipette;S2;15/10/2025
0;13;0,097900003;multipipette;S2;15/10/2025
2000;14;2,469000101;multipipette;S2;15/10/2025
1500;14;2,126300097;multipipette;S2;15/10/2025
1000;14;1,356099963;multipipette;S2;15/10/2025
750;14;1,179999948;multipipette;S2;15/10/2025
500;14;0,887099981;multipipette;S2;15/10/2025
250;14;0,512899995;multipipette;S2;15/10/2025
125;14;0,312700003;multipipette;S2;15/10/2025
25;14;0,133000001;multipipette;S2;15/10/2025
0;14;0,104999997;multipipette;S2;15/10/2025
2000;15;2,593300104;multipipette;S2;15/10/2025
1500;15;2,164099932;multipipette;S2;15/10/2025
1000;15;1,46449995;multipipette;S2;15/10/2025
750;15;1,078500032;multipipette;S2;15/10/2025
500;15;0,930299997;multipipette;S2;15/10/2025
250;15;0,519900024;multipipette;S2;15/10/2025
125;15;0,316500008;multipipette;S2;15/10/2025
25;15;0,1347;multipipette;S2;15/10/2025
0;15;0,100599997;multipipette;S2;15/10/2025
2000;16;2,578500032;multipipette;S2;15/10/2025
1500;16;2,006599903;multipipette;S2;15/10/2025
1000;16;1,40139997;multipipette;S2;15/10/2025
750;16;1,215499997;multipipette;S2;15/10/2025
500;16;0,901600003;multipipette;S2;15/10/2025
250;16;0,632700026;multipipette;S2;15/10/2025
125;16;0,32100001;multipipette;S2;15/10/2025
25;16;0,135600001;multipipette;S2;15/10/2025
0;16;0,102799997;multipipette;S2;15/10/2025
2000;17;2,353100061;multipipette;S1;16/10/2025
1500;17;1,847800016;multipipette;S1;16/10/2025
1000;17;1,295799971;multipipette;S1;16/10/2025
750;17;1,015699983;multipipette;S1;16/10/2025
500;17;0,764800012;multipipette;S1;16/10/2025
250;17;0,474099994;multipipette;S1;16/10/2025
125;17;0,290600002;multipipette;S1;16/10/2025
25;17;0,132499993;multipipette;S1;16/10/2025
0;17;0,089599997;multipipette;S1;16/10/2025
2000;18;2,288599968;multipipette;S1;16/10/2025
1500;18;1,831599951;multipipette;S1;16/10/2025
1000;18;1,305299997;multipipette;S1;16/10/2025
750;18;1,072000027;multipipette;S1;16/10/2025
500;18;0,80339998;multipipette;S1;16/10/2025
250;18;0,458999991;multipipette;S1;16/10/2025
125;18;0,291599989;multipipette;S1;16/10/2025
25;18;0,125300005;multipipette;S1;16/10/2025
0;18;0,087800004;multipipette;S1;16/10/2025
2000;19;2,218899965;multipipette;S1;16/10/2025
1500;19;1,848099947;multipipette;S1;16/10/2025
1000;19;1,261000037;multipipette;S1;16/10/2025
750;19;1,013800025;multipipette;S1;16/10/2025
500;19;0,813199997;multipipette;S1;16/10/2025
250;19;0,4639;multipipette;S1;16/10/2025
125;19;0,294800013;multipipette;S1;16/10/2025
25;19;0,132200003;multipipette;S1;16/10/2025
0;19;0,088100001;multipipette;S1;16/10/2025
2000;20;2,191699982;multipipette;S1;16/10/2025
1500;20;1,93659997;multipipette;S1;16/10/2025
1000;20;1,352399945;multipipette;S1;16/10/2025
750;20;0,981100023;multipipette;S1;16/10/2025
500;20;0,791800022;multipipette;S1;16/10/2025
250;20;0,459100008;multipipette;S1;16/10/2025
125;20;0,307000011;multipipette;S1;16/10/2025
25;20;0,124499999;multipipette;S1;16/10/2025
0;20;0,087099999;multipipette;S1;16/10/2025
2000;21;2,236000061;multipipette;S1;16/10/2025
1500;21;1,893000007;multipipette;S1;16/10/2025
1000;21;1,309999943;multipipette;S1;16/10/2025
750;21;1,023000002;multipipette;S1;16/10/2025
500;21;0,816299975;multipipette;S1;16/10/2025
250;21;0,461400002;multipipette;S1;16/10/2025
125;21;0,308999985;multipipette;S1;16/10/2025
25;21;0,129700005;multipipette;S1;16/10/2025
0;21;0,087099999;multipipette;S1;16/10/2025
2000;22;2,3046;multipipette;S1;16/10/2025
1500;22;1,933200002;multipipette;S1;16/10/2025
1000;22;1,384899974;multipipette;S1;16/10/2025
750;22;1,068699956;multipipette;S1;16/10/2025
500;22;0,844200015;multipipette;S1;16/10/2025
250;22;0,475800008;multipipette;S1;16/10/2025
125;22;0,302700013;multipipette;S1;16/10/2025
25;22;0,127800003;multipipette;S1;16/10/2025
0;22;0,090800002;multipipette;S1;16/10/2025
2000;23;2,360300064;multipipette;S1;16/10/2025
1500;23;1,931900024;multipipette;S1;16/10/2025
1000;23;1,297600031;multipipette;S1;16/10/2025
750;23;0,997399986;multipipette;S1;16/10/2025
500;23;0,837700009;multipipette;S1;16/10/2025
250;23;0,472200006;multipipette;S1;16/10/2025
125;23;0,319900006;multipipette;S1;16/10/2025
25;23;0,131099999;multipipette;S1;16/10/2025
0;23;0,094300002;multipipette;S1;16/10/2025
2000;24;2,766400099;multipipette;S1;16/10/2025
1500;24;1,987100005;multipipette;S1;16/10/2025
1000;24;1,389600039;multipipette;S1;16/10/2025
750;24;1,134299994;multipipette;S1;16/10/2025
500;24;0,875500023;multipipette;S1;16/10/2025
250;24;0,522800028;multipipette;S1;16/10/2025
125;24;0,315499991;multipipette;S1;16/10/2025
25;24;0,141299993;multipipette;S1;16/10/2025
0;24;0,090800002;multipipette;S1;16/10/2025
2000;18;2,791500092;singlepipette;S1;16/10/2025
1500;18;1,91869998;singlepipette;S1;16/10/2025
1000;18;1,437899947;singlepipette;S1;16/10/2025
750;18;1,109799981;singlepipette;S1;16/10/2025
500;18;0,841700017;singlepipette;S1;16/10/2025
250;18;0,484400004;singlepipette;S1;16/10/2025
125;18;0,304699987;singlepipette;S1;16/10/2025
25;18;0,127100006;singlepipette;S1;16/10/2025
0;18;0,087499999;singlepipette;S1;16/10/2025
2000;19;2,509500027;singlepipette;S1;16/10/2025
1500;19;1,98150003;singlepipette;S1;16/10/2025
1000;19;1,475999951;singlepipette;S1;16/10/2025
750;19;1,174200058;singlepipette;S1;16/10/2025
500;19;0,879000008;singlepipette;S1;16/10/2025
250;19;0,4824;singlepipette;S1;16/10/2025
125;19;0,317600012;singlepipette;S1;16/10/2025
25;19;0,126399994;singlepipette;S1;16/10/2025
0;19;0,082699999;singlepipette;S1;16/10/2025
2000;20;2,526000023;singlepipette;S1;16/10/2025
1500;20;1,927700043;singlepipette;S1;16/10/2025
1000;20;1,464100003;singlepipette;S1;16/10/2025
750;20;1,195600033;singlepipette;S1;16/10/2025
500;20;0,862299979;singlepipette;S1;16/10/2025
250;20;0,49090001;singlepipette;S1;16/10/2025
125;20;0,314200014;singlepipette;S1;16/10/2025
25;20;0,125200003;singlepipette;S1;16/10/2025
0;20;0,083300002;singlepipette;S1;16/10/2025
2000;21;2,448299885;singlepipette;S1;16/10/2025
1500;21;2,021600008;singlepipette;S1;16/10/2025
1000;21;1,475399971;singlepipette;S1;16/10/2025
750;21;1,183500051;singlepipette;S1;16/10/2025
500;21;0,889199972;singlepipette;S1;16/10/2025
250;21;0,514599979;singlepipette;S1;16/10/2025
125;21;0,3125;singlepipette;S1;16/10/2025
25;21;0,127399996;singlepipette;S1;16/10/2025
0;21;0,082999997;singlepipette;S1;16/10/2025
2000;22;2,540699959;singlepipette;S1;16/10/2025
1500;22;1,9296;singlepipette;S1;16/10/2025
1000;22;1,463000059;singlepipette;S1;16/10/2025
750;22;1,28550005;singlepipette;S1;16/10/2025
500;22;0,86500001;singlepipette;S1;16/10/2025
250;22;0,487599999;singlepipette;S1;16/10/2025
125;22;0,328299999;singlepipette;S1;16/10/2025
25;22;0,128600001;singlepipette;S1;16/10/2025
0;22;0,083800003;singlepipette;S1;16/10/2025
2000;23;2,580899954;singlepipette;S1;16/10/2025
1500;23;2,009200096;singlepipette;S1;16/10/2025
1000;23;1,475000024;singlepipette;S1;16/10/2025
750;23;1,218400002;singlepipette;S1;16/10/2025
500;23;0,888400018;singlepipette;S1;16/10/2025
250;23;0,528400004;singlepipette;S1;16/10/2025
125;23;0,326599985;singlepipette;S1;16/10/2025
25;23;0,131699994;singlepipette;S1;16/10/2025
0;23;0,084700003;singlepipette;S1;16/10/2025
2000;24;2,622900009;singlepipette;S1;16/10/2025
1500;24;2,319400072;singlepipette;S1;16/10/2025
1000;24;1,60619998;singlepipette;S1;16/10/2025
750;24;1,238800049;singlepipette;S1;16/10/2025
500;24;0,856899977;singlepipette;S1;16/10/2025
250;24;0,537899971;singlepipette;S1;16/10/2025
125;24;0,313300014;singlepipette;S1;16/10/2025
25;24;0,125599995;singlepipette;S1;16/10/2025
0;24;0,088200003;singlepipette;S1;16/10/2025
2000;17;2,343400002;multipipette;S2;16/10/2025
1500;17;1,647199988;multipipette;S2;16/10/2025
1000;17;1,231999993;multipipette;S2;16/10/2025
750;17;0,994400024;multipipette;S2;16/10/2025
500;17;0,786599994;multipipette;S2;16/10/2025
250;17;0,42019999;multipipette;S2;16/10/2025
125;17;0,271100014;multipipette;S2;16/10/2025
25;17;0,125;multipipette;S2;16/10/2025
0;17;0,094499998;multipipette;S2;16/10/2025
2000;18;2,262399912;multipipette;S2;16/10/2025
1500;18;1,728399992;multipipette;S2;16/10/2025
1000;18;1,349599957;multipipette;S2;16/10/2025
750;18;1,101799965;multipipette;S2;16/10/2025
500;18;0,793900013;multipipette;S2;16/10/2025
250;18;0,451799989;multipipette;S2;16/10/2025
125;18;0,273499995;multipipette;S2;16/10/2025
25;18;0,122100003;multipipette;S2;16/10/2025
0;18;0,092100002;multipipette;S2;16/10/2025
2000;19;2,410000086;multipipette;S2;16/10/2025
1500;19;1,674700022;multipipette;S2;16/10/2025
1000;19;1,380399942;multipipette;S2;16/10/2025
750;19;1,109699965;multipipette;S2;16/10/2025
500;19;0,825600028;multipipette;S2;16/10/2025
250;19;0,474400014;multipipette;S2;16/10/2025
125;19;0,274899989;multipipette;S2;16/10/2025
25;19;0,123499997;multipipette;S2;16/10/2025
0;19;0,092100002;multipipette;S2;16/10/2025
2000;20;2,557100058;multipipette;S2;16/10/2025
1500;20;1,75880003;multipipette;S2;16/10/2025
1000;20;1,430699944;multipipette;S2;16/10/2025
750;20;1,084400058;multipipette;S2;16/10/2025
500;20;0,856899977;multipipette;S2;16/10/2025
250;20;0,470699996;multipipette;S2;16/10/2025
125;20;0,282599986;multipipette;S2;16/10/2025
25;20;0,120399997;multipipette;S2;16/10/2025
0;20;0,093099996;multipipette;S2;16/10/2025
2000;21;2,472800016;multipipette;S2;16/10/2025
1500;21;1,844200015;multipipette;S2;16/10/2025
1000;21;1,425999999;multipipette;S2;16/10/2025
750;21;1,17869997;multipipette;S2;16/10/2025
500;21;0,863600016;multipipette;S2;16/10/2025
250;21;0,479699999;multipipette;S2;16/10/2025
125;21;0,289099991;multipipette;S2;16/10/2025
25;21;0,125200003;multipipette;S2;16/10/2025
0;21;0,095100001;multipipette;S2;16/10/2025
2000;22;2,366100073;multipipette;S2;16/10/2025
1500;22;1,852499962;multipipette;S2;16/10/2025
1000;22;1,417500019;multipipette;S2;16/10/2025
750;22;1,155599952;multipipette;S2;16/10/2025
500;22;0,855199993;multipipette;S2;16/10/2025
250;22;0,47299999;multipipette;S2;16/10/2025
125;22;0,296299994;multipipette;S2;16/10/2025
25;22;0,092;multipipette;S2;16/10/2025
0;22;0,128199995;multipipette;S2;16/10/2025
2000;23;2,941900015;multipipette;S2;16/10/2025
1500;23;1,890900016;multipipette;S2;16/10/2025
1000;23;1,468999982;multipipette;S2;16/10/2025
750;23;1,263499975;multipipette;S2;16/10/2025
500;23;0,871500015;multipipette;S2;16/10/2025
250;23;0,488099992;multipipette;S2;16/10/2025
125;23;0,308099985;multipipette;S2;16/10/2025
25;23;0,093199998;multipipette;S2;16/10/2025
0;23;0,132300004;multipipette;S2;16/10/2025
2000;24;2,590399981;multipipette;S2;16/10/2025
1500;24;1,906000018;multipipette;S2;16/10/2025
1000;24;1,502900004;multipipette;S2;16/10/2025
750;24;1,215000033;multipipette;S2;16/10/2025
500;24;0,873600006;multipipette;S2;16/10/2025
250;24;0,538699985;multipipette;S2;16/10/2025
125;24;0,303900003;multipipette;S2;16/10/2025
25;24;0,092200004;multipipette;S2;16/10/2025
0;24;0,133599997;multipipette;S2;16/10/2025
