Operator;Date;Average time per well;;;;;;;;;;;;;;;
S1;06/11/2025;03:42.7;;;;;;;;;;;;;;;
S1;17/11/2025;03:17.7;;;;;;;;;;;;;;;
S2;05/11/2025;04:37.0;;;;;;;;;;;;;;;
S2;06/11/2025;04:01.4;;;;;;;;;;;;;;;
S2;17/11/2025;03:07.2;;;;;;;;;;;;;;;
OT-2;03/11/2025;14:17.7;;;;;;;;;;;;;;;
OT-2;10/11/2025;10:01.4;;;;;;;;;;;;;;;
OT-2;11/11/2025;09:40.4;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;